mes,Localidad,Descripcion de estos,Asesorías jurídicas en materia de regularización de tenencia de la tierra,Asesorias juridicas en materia civil-familiar,Juicios de obras públicas en curso,Canalizaciones en materia de Juicios de Pension Alimenticia,Correcciones de actas ante el registro del estado de Hidalgo.,"Convenios, contratos o acuerdos revisados y formalizados con la ciudadania",Apoyo en Audiencias de Juzgado Conciliador,Apoyo a Visitaduria Agraria,Catastro en Deslindes y/o Rectificacion de Medidas,Actas informativas realizadas para el Registro civil,Revicion de documentos para inscripcion al Padron,Revision de documentos para Traslados de Dominio,Revision de Documentos para Avaluos,Deslindes realizados por el àrea,,,,MES,Asesoria juridicas por area,Total de Asesorias,actividad,,Mes,Nombre del proveedor,Total de contratos,actividad,,Mes,Tema de la recomendación,Estatus,actividad
FEBRERO,SAUCILLO AGUA NUEVA,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,SOLEDAD DEL COYOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,TENANGO,,3,4,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
FEBRERO,TETLALPAN,,1,,,,,,,5,,,,1,,,,,,,,,,,,,,,,,,,
FEBRERO,TOCAPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,ZACATE GRANDE,,6,,,,2,,,2,,,,,1,,,,,,,,,,,,,,,,,,
FEBRERO,ZIMAPANITO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,ACUATLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,AHUAYO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,ÁLAMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,AMIXCO,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,ARROYO BLANCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,ARROYO DE ACAXTLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,BUENA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,CABECERA MPAL,CONVENIOS DE PARTES,55,21,3,,2,9,13,,1,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,CAHUAZAS,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,CARRIZAL DE TENANGO,CONVENIO DE CONVIVENCIA DE MENORES,3,2,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,CARRIZAL DEL SOTANO,,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,EL AMOLAR,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,EL BANCO,,2,2,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,EL BARRIO,CONVENIO DE CONVIVENCIA DE MENORES,11,3,1,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,EL CAMPANARIO,,2,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,EL CAPULÍN,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,EL COYOL,,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,EL HUALUL,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,EL LIMONCITO,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,EL OCOTE,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,EL PESCADO,,6,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,EL SABINO,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
